,uni_name,global,error_rate,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32,label_33,label_34,label_35,label_36,label_37,label_38,label_39,label_40,label_41,label_42,label_43,label_44,label_45,label_46,label_47,label_48,label_49,label_50,label_51,label_52,label_53,label_54,label_55,label_56,label_57,label_58,label_59,label_60,label_61,label_62,label_63,label_64,label_65,label_66,label_67,label_68,label_69,label_70,label_71,label_72,label_73,label_74,label_75,label_76,label_77,label_78,label_79,label_80,label_81,label_82,label_83,label_84,label_85,label_86,label_87,label_88,label_89,label_90,label_91,label_92,label_93,label_94,label_95,label_96,label_97,label_98,label_99,label_100,label_101
0,pretrain,0.9480800432666306,0.051919956733369355,1.0,1.0,0.6666666666666666,0.6363636363636364,0.9166666666666666,1.0,1.0,1.0,0.875,1.0,0.9047619047619048,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,0.95,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.9444444444444444,0.6666666666666666,0.9,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.8,0.9705882352941176,1.0,0.696969696969697,1.0,0.6666666666666666,0.9807692307692307,1.0,0.9375,1.0,1.0,0.974025974025974,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,0.9642857142857143,1.0,0.7142857142857143,0.6363636363636364,0.8,1.0,1.0,0.9230769230769231,1.0,0.9736842105263158,0.9655172413793104,0.9615384615384616,0.972972972972973,1.0,1.0,0.8571428571428571,1.0,0.9354838709677419,0.9393939393939394,0.8888888888888888,0.9090909090909091,1.0,0.9285714285714286,0.9787234042553191,0.9574468085106383,1.0,1.0,1.0,0.7142857142857143,0.9574468085106383,0.8235294117647058,0.8,0.7647058823529411,0.9444444444444444,1.0,1.0,1.0,1.0
1,inctrain,0.008653326122228232,0.9913466738777718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
2,Coteaching,0.05462412114656571,0.9453758788534343,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.05,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.25,0.2222222222222222,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.13333333333333333,0.11764705882352941,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.05194805194805195,0.05555555555555555,0.0,0.058823529411764705,0.06666666666666667,0.07692307692307693,0.0,0.3548387096774194,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.26666666666666666,0.0,0.0,0.038461538461538464,0.07272727272727272,0.0,0.0,0.038461538461538464,0.06756756756756757,0.28125,0.0,0.0,0.038461538461538464,0.03225806451612903,0.0,0.037037037037037035,0.0,0.0,0.0,0.3617021276595745,0.0425531914893617,0.0,0.07142857142857142,0.0,0.0,0.0851063829787234,0.058823529411764705,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111
3,Coteachingplus,0.07950243374797188,0.9204975662520282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.21739130434782608,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.11764705882352941,0.09090909090909091,0.030303030303030304,0.0,0.0,0.057692307692307696,0.0,0.5,0.0,0.16,0.2727272727272727,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.18181818181818182,0.2857142857142857,0.0,0.375,0.0,0.03571428571428571,0.4166666666666667,0.14285714285714285,0.0,0.0,0.16666666666666666,0.0625,0.038461538461538464,0.2,0.10526315789473684,0.034482758620689655,0.11538461538461539,0.02702702702702703,0.0625,0.0,0.03571428571428571,0.15384615384615385,0.06451612903225806,0.0,0.037037037037037035,0.09090909090909091,0.1111111111111111,0.0,0.02127659574468085,0.40425531914893614,0.0625,0.07142857142857142,0.16666666666666666,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.125,0.1111111111111111
4,Decoupling,0.10059491617090319,0.8994050838290968,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.125,0.2608695652173913,0.05,0.0,0.09090909090909091,0.0,0.125,0.1111111111111111,0.14285714285714285,0.2,0.0,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.2857142857142857,0.0,0.2222222222222222,0.07692307692307693,0.125,0.0,0.0,0.26666666666666666,0.029411764705882353,0.09090909090909091,0.0,0.42857142857142855,0.0,0.15384615384615385,0.07142857142857142,0.0,0.0,0.08,0.18181818181818182,0.0,0.13636363636363635,0.29411764705882354,0.06666666666666667,0.34615384615384615,0.07692307692307693,0.4838709677419355,0.0,0.2727272727272727,0.42857142857142855,0.0,0.0,0.08333333333333333,0.0,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.02631578947368421,0.0,0.11538461538461539,0.04054054054054054,0.34375,0.0,0.03571428571428571,0.0,0.06451612903225806,0.0,0.037037037037037035,0.18181818181818182,0.1111111111111111,0.0,0.10638297872340426,0.02127659574468085,0.125,0.14285714285714285,0.0,0.0,0.5319148936170213,0.058823529411764705,0.05,0.17647058823529413,0.05555555555555555,0.07142857142857142,0.1,0.0,0.1111111111111111
5,DISC,0.9069767441860465,0.09302325581395354,1.0,1.0,0.5,0.45454545454545453,0.9166666666666666,1.0,1.0,1.0,0.75,1.0,0.9047619047619048,0.9130434782608695,1.0,0.875,0.6,0.5,1.0,0.8,0.7777777777777778,0.8181818181818182,1.0,1.0,0.8888888888888888,0.7142857142857143,0.6,1.0,0.6,0.9166666666666666,1.0,0.8888888888888888,0.5833333333333334,0.3,0.7142857142857143,1.0,1.0,1.0,0.9583333333333334,1.0,0.5,0.9333333333333333,0.9117647058823529,0.9090909090909091,0.8181818181818182,1.0,0.6666666666666666,1.0,1.0,0.875,1.0,0.96,0.8831168831168831,1.0,0.8636363636363636,0.6470588235294118,1.0,1.0,0.8461538461538461,0.967741935483871,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,0.9642857142857143,1.0,0.42857142857142855,0.7272727272727273,0.7333333333333333,1.0,1.0,0.9615384615384616,0.8909090909090909,1.0,1.0,0.9230769230769231,1.0,0.9375,1.0,0.8571428571428571,0.9423076923076923,0.967741935483871,0.7575757575757576,0.8148148148148148,1.0,1.0,0.9285714285714286,0.9148936170212766,0.9787234042553191,0.75,1.0,0.9166666666666666,0.7142857142857143,0.9574468085106383,0.9411764705882353,0.7,0.6470588235294118,0.9444444444444444,1.0,1.0,0.875,1.0
6,ELR,0.8620876149269876,0.1379123850730124,1.0,1.0,0.5,0.36363636363636365,1.0,0.875,0.25,0.95,0.625,1.0,0.8095238095238095,1.0,0.7777777777777778,0.625,0.8,0.125,1.0,0.7,0.7777777777777778,0.6363636363636364,1.0,1.0,0.9444444444444444,0.7142857142857143,0.6,1.0,0.6,0.75,1.0,0.9444444444444444,0.5833333333333334,0.4,0.7142857142857143,1.0,0.7777777777777778,0.9230769230769231,0.9583333333333334,0.9166666666666666,0.5,0.6666666666666666,0.9411764705882353,1.0,0.42424242424242425,1.0,0.3333333333333333,0.9423076923076923,0.8571428571428571,0.5625,0.8333333333333334,1.0,0.8831168831168831,0.8888888888888888,0.6818181818181818,1.0,0.7333333333333333,1.0,0.7692307692307693,0.967741935483871,1.0,1.0,1.0,0.9090909090909091,0.875,0.9166666666666666,0.9285714285714286,0.9166666666666666,0.5714285714285714,0.5454545454545454,0.8666666666666667,0.9166666666666666,1.0,0.9615384615384616,1.0,0.9210526315789473,0.9655172413793104,0.9615384615384616,0.9864864864864865,0.9375,0.8,0.8928571428571429,0.9615384615384616,0.8709677419354839,0.9090909090909091,0.6666666666666666,0.9090909090909091,1.0,0.8571428571428571,0.8723404255319149,0.9574468085106383,0.875,1.0,1.0,0.5714285714285714,0.9361702127659575,0.7647058823529411,0.7,0.5294117647058824,0.2777777777777778,0.7142857142857143,1.0,0.625,0.8888888888888888
7,GJS,0.8615467820443483,0.1384532179556517,1.0,1.0,0.16666666666666666,0.36363636363636365,0.75,0.875,1.0,0.9,0.75,1.0,0.6666666666666666,0.8695652173913043,0.8888888888888888,1.0,0.7,0.5,0.8695652173913043,0.8,0.6666666666666666,0.9090909090909091,0.5,0.875,0.9444444444444444,0.42857142857142855,0.8,1.0,0.4,0.75,0.9375,0.9444444444444444,0.5833333333333334,0.4,1.0,1.0,1.0,0.8461538461538461,1.0,1.0,0.5,0.3333333333333333,0.9705882352941176,0.6363636363636364,0.7575757575757576,0.9285714285714286,0.3333333333333333,1.0,0.9285714285714286,1.0,0.6666666666666666,1.0,0.8181818181818182,0.7777777777777778,0.9545454545454546,0.8823529411764706,1.0,1.0,0.6923076923076923,0.967741935483871,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,0.8214285714285714,0.9166666666666666,0.42857142857142855,1.0,0.8,1.0,1.0,0.9230769230769231,0.9636363636363636,0.9736842105263158,1.0,0.8846153846153846,0.972972972972973,0.96875,0.8,0.8571428571428571,1.0,0.967741935483871,0.6060606060606061,0.6296296296296297,0.8181818181818182,1.0,0.9285714285714286,0.8085106382978723,0.8297872340425532,0.875,1.0,0.8333333333333334,0.5714285714285714,0.9787234042553191,0.8529411764705882,0.6,0.7647058823529411,0.7222222222222222,0.6428571428571429,0.8,0.625,0.8888888888888888
8,JoCoR,0.05570578691184424,0.9442942130881558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.17391304347826086,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.20588235294117646,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.16,0.025974025974025976,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.12903225806451613,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0625,0.038461538461538464,0.03636363636363636,0.18421052631578946,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.02127659574468085,0.2978723404255319,0.0,0.0,0.0,0.0,0.46808510638297873,0.029411764705882353,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111
9,NegativeLearning,0.2547322877230936,0.7452677122769065,0.0,0.07692307692307693,0.16666666666666666,0.09090909090909091,0.25,0.0,0.0,0.15,0.125,0.16666666666666666,0.19047619047619047,0.6521739130434783,0.1111111111111111,0.125,0.0,0.0,0.34782608695652173,0.05,0.2222222222222222,0.2727272727272727,0.25,0.25,0.5,0.0,0.2,0.0,0.0,0.25,0.1875,0.2222222222222222,0.0,0.1,0.0,0.0,0.1111111111111111,0.23076923076923078,0.25,0.0,0.0,0.3333333333333333,0.11764705882352941,0.36363636363636365,0.030303030303030304,0.2857142857142857,0.0,0.2692307692307692,0.42857142857142855,0.375,0.16666666666666666,0.6,0.2597402597402597,0.5,0.09090909090909091,0.7058823529411765,0.3333333333333333,0.6538461538461539,0.0,0.41935483870967744,0.0,0.3181818181818182,0.0,0.2727272727272727,0.875,0.16666666666666666,0.32142857142857145,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.375,0.23076923076923078,0.34545454545454546,0.23684210526315788,0.3793103448275862,0.07692307692307693,0.3783783783783784,0.25,0.0,0.17857142857142858,0.4230769230769231,0.1935483870967742,0.030303030303030304,0.1111111111111111,0.18181818181818182,0.3333333333333333,0.5,0.23404255319148937,0.3829787234042553,0.125,0.14285714285714285,0.16666666666666666,0.0,0.48936170212765956,0.11764705882352941,0.3,0.35294117647058826,0.05555555555555555,0.21428571428571427,0.1,0.0,0.3333333333333333
10,PENCIL,0.008653326122228232,0.9913466738777718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
11,FT,0.008653326122228232,0.9913466738777718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
12,GA,0.008653326122228232,0.9913466738777718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
13,GA_l1,0.008653326122228232,0.9913466738777718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
14,wfisher,0.008653326122228232,0.9913466738777718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
15,CRUL,0.06814494321254733,0.9318550567874526,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.09523809523809523,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0625,0.0,0.04,0.1038961038961039,0.05555555555555555,0.0,0.0,0.06666666666666667,0.11538461538461539,0.0,0.1935483870967742,0.0,0.22727272727272727,0.14285714285714285,0.09090909090909091,0.375,0.08333333333333333,0.17857142857142858,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.07692307692307693,0.10909090909090909,0.15789473684210525,0.034482758620689655,0.0,0.13513513513513514,0.09375,0.0,0.07142857142857142,0.038461538461538464,0.03225806451612903,0.0,0.037037037037037035,0.0,0.0,0.0,0.0851063829787234,0.06382978723404255,0.0,0.21428571428571427,0.0,0.0,0.14893617021276595,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
