,uni_name,global,error_rate,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32,label_33,label_34,label_35,label_36
0,pretrain,0.9286821705426357,0.07131782945736431,0.7931034482758621,0.9444444444444444,0.6666666666666666,0.9736842105263158,1.0,1.0,0.918918918918919,1.0,0.9428571428571428,0.9375,0.9459459459459459,0.71875,0.8857142857142857,0.975609756097561,0.9117647058823529,0.9705882352941176,0.8205128205128205,1.0,0.9705882352941176,0.967741935483871,0.9354838709677419,0.9696969696969697,1.0,1.0,1.0,1.0,0.6923076923076923,0.8823529411764706,0.918918918918919,1.0,0.868421052631579,1.0,1.0,0.9705882352941176,0.8611111111111112,1.0,0.9375
1,inctrain,0.0007751937984496124,0.9992248062015504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Coteaching,0.548062015503876,0.451937984496124,0.7931034482758621,0.5555555555555556,0.6111111111111112,0.7631578947368421,0.05714285714285714,0.03571428571428571,0.0,1.0,0.7714285714285715,1.0,1.0,0.6875,0.2857142857142857,0.6829268292682927,0.8529411764705882,0.0,0.0,1.0,0.11764705882352941,0.6451612903225806,0.9354838709677419,0.0,0.030303030303030304,0.0,0.0,1.0,0.7692307692307693,0.3235294117647059,0.8918918918918919,1.0,0.05263157894736842,0.1111111111111111,0.8205128205128205,0.8235294117647058,0.9444444444444444,0.8205128205128205,0.9375
3,Coteachingplus,0.7868217054263565,0.21317829457364346,0.8275862068965517,0.8888888888888888,0.7777777777777778,0.868421052631579,0.8285714285714286,0.7142857142857143,1.0,0.9333333333333333,0.8857142857142857,0.71875,0.972972972972973,0.75,0.7142857142857143,0.9024390243902439,0.7941176470588235,0.38235294117647056,0.9743589743589743,0.967741935483871,0.8823529411764706,0.8709677419354839,0.9354838709677419,0.45454545454545453,0.09090909090909091,0.972972972972973,0.7058823529411765,1.0,0.8717948717948718,0.8823529411764706,0.7297297297297297,1.0,0.6052631578947368,0.3888888888888889,0.5384615384615384,0.7058823529411765,0.8055555555555556,0.9743589743589743,0.6875
4,Decoupling,0.8457364341085272,0.15426356589147283,0.6896551724137931,0.8611111111111112,0.9166666666666666,0.7368421052631579,0.8857142857142857,0.8571428571428571,0.8918918918918919,0.9,0.9142857142857143,1.0,0.972972972972973,0.71875,0.8285714285714286,0.7317073170731707,0.7058823529411765,0.08823529411764706,0.8974358974358975,0.9354838709677419,0.9117647058823529,1.0,0.9354838709677419,0.8181818181818182,0.9393939393939394,0.972972972972973,1.0,0.9714285714285714,0.6923076923076923,0.8529411764705882,0.7837837837837838,0.9743589743589743,0.9736842105263158,0.75,0.9487179487179487,0.8823529411764706,0.6111111111111112,0.9230769230769231,0.8125
5,DISC,0.7790697674418605,0.22093023255813948,0.8620689655172413,0.4444444444444444,0.5555555555555556,0.5789473684210527,0.7428571428571429,0.6428571428571429,0.7297297297297297,0.9333333333333333,0.8857142857142857,0.96875,0.8108108108108109,0.75,0.7142857142857143,0.7073170731707317,0.7941176470588235,0.9411764705882353,0.8205128205128205,0.8709677419354839,0.9705882352941176,0.8064516129032258,0.9354838709677419,0.8484848484848485,0.8181818181818182,0.7297297297297297,0.7941176470588235,0.8285714285714286,0.7948717948717948,0.8823529411764706,0.43243243243243246,0.8205128205128205,0.6052631578947368,0.8055555555555556,0.8717948717948718,0.8529411764705882,0.8611111111111112,0.6923076923076923,0.875
6,ELR,0.7178294573643411,0.2821705426356589,0.8620689655172413,0.6388888888888888,0.3888888888888889,0.7105263157894737,0.7714285714285715,0.6785714285714286,0.8918918918918919,0.9,0.8285714285714286,0.9375,0.7027027027027027,0.6875,0.2571428571428571,0.34146341463414637,0.8529411764705882,0.8823529411764706,0.5384615384615384,0.7741935483870968,0.8529411764705882,0.8387096774193549,0.4838709677419355,0.7878787878787878,0.8484848484848485,0.9459459459459459,0.7647058823529411,0.7428571428571429,0.46153846153846156,0.6470588235294118,0.7027027027027027,0.8461538461538461,0.42105263157894735,0.8055555555555556,0.7948717948717948,0.9705882352941176,0.8333333333333334,0.48717948717948717,0.90625
7,GJS,0.7465116279069768,0.2534883720930232,0.8275862068965517,0.75,0.3888888888888889,0.631578947368421,0.6571428571428571,0.21428571428571427,0.8108108108108109,1.0,0.7428571428571429,0.875,0.8108108108108109,0.875,0.05714285714285714,0.5853658536585366,0.8235294117647058,0.8529411764705882,0.717948717948718,0.9354838709677419,0.9411764705882353,0.8387096774193549,0.8387096774193549,0.696969696969697,0.7272727272727273,0.9459459459459459,0.9411764705882353,0.8,0.5897435897435898,0.9117647058823529,0.8108108108108109,0.8974358974358975,0.5,0.7777777777777778,0.7435897435897436,1.0,0.7777777777777778,0.6666666666666666,0.75
8,JoCoR,0.3558139534883721,0.6441860465116279,0.20689655172413793,0.0,0.1111111111111111,0.0,0.8,0.9285714285714286,0.8648648648648649,0.9,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.7352941176470589,0.6764705882352942,0.6923076923076923,0.967741935483871,0.029411764705882353,0.7741935483870968,0.0,0.0,0.7575757575757576,0.0,0.0,1.0,0.717948717948718,0.0,0.5945945945945946,0.9487179487179487,0.07894736842105263,0.0,0.7435897435897436,0.7647058823529411,0.0,0.0,0.0
9,NegativeLearning,0.8147286821705426,0.18527131782945738,0.27586206896551724,1.0,0.8333333333333334,0.6842105263157895,0.8857142857142857,0.7142857142857143,0.9459459459459459,1.0,0.8571428571428571,1.0,0.918918918918919,0.84375,0.8,1.0,0.7352941176470589,0.7352941176470589,0.6666666666666666,1.0,0.9411764705882353,1.0,0.6774193548387096,0.8181818181818182,0.7878787878787878,0.972972972972973,0.8529411764705882,1.0,0.5641025641025641,0.47058823529411764,0.5405405405405406,0.9487179487179487,0.42105263157894735,0.8333333333333334,0.8461538461538461,0.7647058823529411,0.8055555555555556,1.0,0.96875
10,PENCIL,0.0007751937984496124,0.9992248062015504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,FT,0.0015503875968992248,0.9984496124031008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,GA,0.0007751937984496124,0.9992248062015504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA_l1,0.02868217054263566,0.9713178294573643,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7435897435897436,0.0,0.0,0.0,0.0
14,wfisher,0.002325581395348837,0.9976744186046511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CRUL,0.27674418604651163,0.7232558139534884,0.0,0.6111111111111112,0.3333333333333333,0.5,0.2,0.10714285714285714,0.8378378378378378,0.2,0.14285714285714285,0.125,0.10810810810810811,0.0,0.2,0.34146341463414637,0.08823529411764706,0.0,0.02564102564102564,0.5161290322580645,0.6764705882352942,0.7419354838709677,0.0,0.6060606060606061,0.36363636363636365,1.0,0.08823529411764706,0.8571428571428571,0.07692307692307693,0.029411764705882353,0.0,0.0,0.02631578947368421,0.1111111111111111,0.1794871794871795,0.0,0.4444444444444444,0.38461538461538464,0.25
